epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9459,3.5725,4.81881,4.04841,0.00018,0.02083,0.00011,2e-05,4.46865,4.47124,4.17239,0.000470981,0.000470981,0.000470981
2,87.742,2.8219,3.96367,3.32042,0.58548,0.20486,0.20652,0.06166,2.67885,3.44554,3.05856,0.000900423,0.000900423,0.000900423
3,118.738,2.58228,3.43996,2.98783,0.75115,0.36111,0.3419,0.1184,2.47287,3.32444,2.92178,0.00128271,0.00128271,0.00128271
4,148.862,2.4785,3.01289,2.84987,0.7646,0.37153,0.46214,0.1974,2.24069,2.42181,2.61104,0.00121679,0.00121679,0.00121679
5,178.543,2.39865,2.73242,2.72728,0.81464,0.4338,0.49664,0.20991,2.1184,1.8135,2.45419,0.00114606,0.00114606,0.00114606
6,208.264,2.26129,2.47273,2.60762,0.86982,0.45381,0.66667,0.28065,2.10389,1.67663,2.41869,0.00107532,0.00107532,0.00107532
7,237.756,2.19586,2.31692,2.54205,0.77309,0.52083,0.66299,0.32191,1.98242,1.80578,2.34958,0.00100459,0.00100459,0.00100459
8,267.585,2.07008,2.12638,2.3985,0.76806,0.75933,0.80688,0.3846,1.96566,1.30562,2.24908,0.000933851,0.000933851,0.000933851
9,297.495,1.97758,2.00818,2.29416,0.80569,0.69654,0.78338,0.34651,1.97654,1.62994,2.27654,0.000863116,0.000863116,0.000863116
10,327.29,1.90239,1.89142,2.20942,0.82186,0.84044,0.90397,0.4388,1.68991,1.29332,1.98606,0.00079238,0.00079238,0.00079238
11,358.346,1.7629,1.64827,2.14761,0.88134,0.79142,0.88189,0.44409,1.92959,1.32751,2.15175,0.000721645,0.000721645,0.000721645
12,387.302,1.70422,1.52042,2.08606,0.90293,0.88509,0.93201,0.4986,1.52818,1.08686,1.87818,0.000650909,0.000650909,0.000650909
13,416.342,1.67627,1.44518,2.03544,0.84742,0.87406,0.90627,0.46311,1.68085,1.18893,1.92801,0.000580174,0.000580174,0.000580174
14,445.757,1.60813,1.39307,1.98741,0.93461,0.87732,0.97283,0.5607,1.46703,1.00368,1.76376,0.000509438,0.000509438,0.000509438
15,475.192,1.5674,1.30474,1.93238,0.91047,0.88197,0.90737,0.46753,1.46938,1.03018,1.72602,0.000438703,0.000438703,0.000438703
16,504.645,1.5488,1.25775,1.90376,0.92718,0.90622,0.94851,0.60543,1.32695,0.87992,1.63403,0.000367967,0.000367967,0.000367967
17,533.891,1.51054,1.18364,1.8634,0.87599,0.94792,0.95958,0.61616,1.35432,0.83504,1.65766,0.000297232,0.000297232,0.000297232
18,563.183,1.48912,1.17327,1.85056,0.92151,0.89468,0.91191,0.60283,1.2397,0.82692,1.56989,0.000226497,0.000226497,0.000226497
19,592.013,1.47297,1.16076,1.82577,0.94537,0.94378,0.94002,0.6766,1.16363,0.77548,1.54319,0.000155761,0.000155761,0.000155761
20,621.14,1.4443,1.12504,1.80238,0.89607,0.95484,0.94249,0.67895,1.06451,0.77988,1.48435,8.50255e-05,8.50255e-05,8.50255e-05
