epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.572,1.96011,2.4092,2.51412,0.92902,0.77533,0.84874,0.44232,1.65413,1.10485,1.90885,0.000666163,0.000666163,0.000666163
2,764.764,1.38768,0.95157,1.72353,0.90983,0.82598,0.88518,0.476,1.60213,0.94177,1.79373,0.00120088,0.00120088,0.00120088
3,1129.56,1.31709,0.82551,1.64009,0.93814,0.86116,0.91763,0.48333,1.61198,0.8749,1.74606,0.0016036,0.0016036,0.0016036
4,1491.52,1.27611,0.76983,1.59448,0.93764,0.89563,0.93942,0.55237,1.42273,0.78126,1.62077,0.001406,0.001406,0.001406
5,1855.18,1.231,0.71456,1.55967,0.96104,0.891,0.94476,0.55632,1.38252,0.70292,1.6317,0.001208,0.001208,0.001208
6,2221.3,1.20887,0.67315,1.53124,0.95631,0.91374,0.9506,0.59488,1.32755,0.67787,1.54175,0.00101,0.00101,0.00101
7,2585.48,1.17991,0.6404,1.50801,0.96824,0.91509,0.95546,0.60588,1.33183,0.63802,1.54707,0.000812,0.000812,0.000812
8,2946.03,1.15203,0.61144,1.48282,0.96351,0.92355,0.95751,0.58298,1.38135,0.6474,1.57905,0.000614,0.000614,0.000614
9,3306.71,1.12951,0.58586,1.45806,0.97139,0.92356,0.9623,0.62034,1.28432,0.59875,1.50342,0.000416,0.000416,0.000416
10,3671.25,1.1045,0.55761,1.43722,0.97869,0.92683,0.96842,0.63984,1.22974,0.56668,1.48096,0.000218,0.000218,0.000218
