epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.157,1.89574,2.25134,2.41665,0.93608,0.77486,0.86767,0.45239,1.59744,1.13303,1.76714,0.000666163,0.000666163,0.000666163
2,687.258,1.3643,0.94566,1.65163,0.94283,0.82927,0.90922,0.49374,1.47541,0.94119,1.67354,0.00120088,0.00120088,0.00120088
3,1020.27,1.29861,0.8268,1.57452,0.92847,0.85848,0.9134,0.51346,1.53767,0.88468,1.66845,0.0016036,0.0016036,0.0016036
4,1355.86,1.25115,0.75439,1.52505,0.9589,0.88508,0.9349,0.54049,1.42048,0.78954,1.57672,0.001406,0.001406,0.001406
5,1692.16,1.206,0.69879,1.48226,0.95206,0.90361,0.94211,0.56026,1.35649,0.73277,1.51425,0.001208,0.001208,0.001208
6,2024.52,1.18206,0.6569,1.45475,0.96613,0.91135,0.95575,0.60693,1.29079,0.65524,1.46535,0.00101,0.00101,0.00101
7,2357.14,1.15799,0.62795,1.43223,0.96586,0.91561,0.95467,0.62084,1.27579,0.62905,1.45427,0.000812,0.000812,0.000812
8,2688.48,1.13346,0.59384,1.41319,0.9639,0.92073,0.95767,0.5916,1.33683,0.6351,1.49736,0.000614,0.000614,0.000614
9,3019.18,1.1125,0.56808,1.3922,0.98014,0.92609,0.96433,0.62733,1.24675,0.58983,1.43204,0.000416,0.000416,0.000416
10,3352.58,1.09035,0.539,1.37319,0.97576,0.92917,0.96409,0.62625,1.25068,0.56688,1.43444,0.000218,0.000218,0.000218
