Timestamp,Vehicle_ID,Type,License_Plate,Confidence,Image_Frame,Image_Vehicle,Image_Plate_Raw,Image_Plate_Processed
2025-11-26 19:12:47,201,car,3629790,0.00,output_standard\imgs_full\20251126_191247_ID201.jpg,output_standard\imgs_vehicles\20251126_191247_ID201_veh.jpg,output_standard\imgs_plate_raw\20251126_191247_ID201_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191247_ID201_plate_proc.jpg
2025-11-26 19:12:48,199,car,30566673,0.00,output_standard\imgs_full\20251126_191248_ID199.jpg,output_standard\imgs_vehicles\20251126_191248_ID199_veh.jpg,output_standard\imgs_plate_raw\20251126_191248_ID199_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191248_ID199_plate_proc.jpg
2025-11-26 19:12:50,338,car,88463602,0.00,output_standard\imgs_full\20251126_191250_ID338.jpg,output_standard\imgs_vehicles\20251126_191250_ID338_veh.jpg,output_standard\imgs_plate_raw\20251126_191250_ID338_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191250_ID338_plate_proc.jpg
2025-11-26 19:12:51,274,motorcycle,UNKN0WN,0.00,output_standard\imgs_full\20251126_191251_ID274.jpg,output_standard\imgs_vehicles\20251126_191251_ID274_veh.jpg,output_standard\imgs_plate_raw\20251126_191251_ID274_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191251_ID274_plate_proc.jpg
2025-11-26 19:13:05,695,motorcycle,UNKN0WN,0.00,output_standard\imgs_full\20251126_191305_ID695.jpg,output_standard\imgs_vehicles\20251126_191305_ID695_veh.jpg,output_standard\imgs_plate_raw\20251126_191305_ID695_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191305_ID695_plate_proc.jpg
2025-11-26 19:13:08,978,car,29661253,0.00,output_standard\imgs_full\20251126_191308_ID978.jpg,output_standard\imgs_vehicles\20251126_191308_ID978_veh.jpg,output_standard\imgs_plate_raw\20251126_191308_ID978_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191308_ID978_plate_proc.jpg
2025-11-26 19:13:09,1103,car,30806022,0.00,output_standard\imgs_full\20251126_191309_ID1103.jpg,output_standard\imgs_vehicles\20251126_191309_ID1103_veh.jpg,output_standard\imgs_plate_raw\20251126_191309_ID1103_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191309_ID1103_plate_proc.jpg
2025-11-26 19:13:11,1093,truck,829059493,0.00,output_standard\imgs_full\20251126_191311_ID1093.jpg,output_standard\imgs_vehicles\20251126_191311_ID1093_veh.jpg,output_standard\imgs_plate_raw\20251126_191311_ID1093_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191311_ID1093_plate_proc.jpg
2025-11-26 19:13:13,1175,car,29058835,0.00,output_standard\imgs_full\20251126_191313_ID1175.jpg,output_standard\imgs_vehicles\20251126_191313_ID1175_veh.jpg,output_standard\imgs_plate_raw\20251126_191313_ID1175_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191313_ID1175_plate_proc.jpg
2025-11-26 19:13:13,996,truck,29059093,0.00,output_standard\imgs_full\20251126_191313_ID996.jpg,output_standard\imgs_vehicles\20251126_191313_ID996_veh.jpg,output_standard\imgs_plate_raw\20251126_191313_ID996_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_191313_ID996_plate_proc.jpg
2025-11-26 19:41:40,201,car,3629790,0.00,output_standard\imgs_full\20251126_194140_ID201.jpg,output_standard\imgs_vehicles\20251126_194140_ID201_veh.jpg,output_standard\imgs_plate_raw\20251126_194140_ID201_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_194140_ID201_plate_proc.jpg
2025-11-26 19:41:41,199,car,30566673,0.00,output_standard\imgs_full\20251126_194141_ID199.jpg,output_standard\imgs_vehicles\20251126_194141_ID199_veh.jpg,output_standard\imgs_plate_raw\20251126_194141_ID199_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_194141_ID199_plate_proc.jpg
2025-11-26 19:41:44,338,car,88463602,0.00,output_standard\imgs_full\20251126_194144_ID338.jpg,output_standard\imgs_vehicles\20251126_194144_ID338_veh.jpg,output_standard\imgs_plate_raw\20251126_194144_ID338_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_194144_ID338_plate_proc.jpg
2025-11-26 19:41:44,274,motorcycle,UNKN0WN,0.00,output_standard\imgs_full\20251126_194144_ID274.jpg,output_standard\imgs_vehicles\20251126_194144_ID274_veh.jpg,output_standard\imgs_plate_raw\20251126_194144_ID274_plate_raw.jpg,output_standard\imgs_plate_processed\20251126_194144_ID274_plate_proc.jpg
2025-12-04 09:48:15,201,car,3629790,0.00,output_standard\imgs_full\20251204_094815_ID201.jpg,output_standard\imgs_vehicles\20251204_094815_ID201_veh.jpg,output_standard\imgs_plate_raw\20251204_094815_ID201_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094815_ID201_plate_proc.jpg
2025-12-04 09:48:16,199,car,30566673,0.00,output_standard\imgs_full\20251204_094816_ID199.jpg,output_standard\imgs_vehicles\20251204_094816_ID199_veh.jpg,output_standard\imgs_plate_raw\20251204_094816_ID199_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094816_ID199_plate_proc.jpg
2025-12-04 09:48:18,338,car,88463602,0.00,output_standard\imgs_full\20251204_094818_ID338.jpg,output_standard\imgs_vehicles\20251204_094818_ID338_veh.jpg,output_standard\imgs_plate_raw\20251204_094818_ID338_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094818_ID338_plate_proc.jpg
2025-12-04 09:48:19,274,motorcycle,UNKN0WN,0.00,output_standard\imgs_full\20251204_094819_ID274.jpg,output_standard\imgs_vehicles\20251204_094819_ID274_veh.jpg,output_standard\imgs_plate_raw\20251204_094819_ID274_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094819_ID274_plate_proc.jpg
2025-12-04 09:48:34,695,motorcycle,UNKN0WN,0.00,output_standard\imgs_full\20251204_094834_ID695.jpg,output_standard\imgs_vehicles\20251204_094834_ID695_veh.jpg,output_standard\imgs_plate_raw\20251204_094834_ID695_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094834_ID695_plate_proc.jpg
2025-12-04 09:48:37,978,car,29661253,0.00,output_standard\imgs_full\20251204_094837_ID978.jpg,output_standard\imgs_vehicles\20251204_094837_ID978_veh.jpg,output_standard\imgs_plate_raw\20251204_094837_ID978_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094837_ID978_plate_proc.jpg
2025-12-04 09:48:38,1103,car,30806022,0.00,output_standard\imgs_full\20251204_094838_ID1103.jpg,output_standard\imgs_vehicles\20251204_094838_ID1103_veh.jpg,output_standard\imgs_plate_raw\20251204_094838_ID1103_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094838_ID1103_plate_proc.jpg
2025-12-04 09:48:39,1093,truck,829059493,0.00,output_standard\imgs_full\20251204_094839_ID1093.jpg,output_standard\imgs_vehicles\20251204_094839_ID1093_veh.jpg,output_standard\imgs_plate_raw\20251204_094839_ID1093_plate_raw.jpg,output_standard\imgs_plate_processed\20251204_094839_ID1093_plate_proc.jpg
